Year,Month,Date,NumVisitors,annualGrowthRate
2022년,5월,2022-05-01,0.0493,1.097872340425532
2022년,6월,2022-06-01,0.0558,5.804878048780488
2022년,7월,2022-07-01,0.1181,8.155038759689923
2022년,8월,2022-08-01,0.1598,4.291390728476821
2022년,9월,2022-09-01,0.1408,2.5736040609137056
2022년,10월,2022-10-01,0.4867,15.958188153310104
2022년,11월,2022-11-01,1.324,52.38709677419355
2022년,12월,2022-12-01,2.6902,90.19322033898304
2023년,1월,2023-01-01,3.6536,123.2721088435374
2023년,2월,2023-02-01,5.9195,163.88857938718664
2023년,3월,2023-03-01,5.23,127.8177339901478
2023년,4월,2023-04-01,5.895,132.3710407239819
