Year,Month,Date,NumVisitors,annualGrowthRate
2013년,6월,2013-06-01,5.4673,0.1651642051872215
2013년,7월,2013-07-01,5.3269,0.0429564366128243
2013년,8월,2013-08-01,6.5153,0.0995359041431103
2013년,9월,2013-09-01,5.7784,0.2505193905817173
2013년,10월,2013-10-01,5.6628,0.1395110172049503
2013년,11월,2013-11-01,6.4161,0.0733931140629704
2013년,12월,2013-12-01,6.5862,0.013604604635415
2014년,1월,2014-01-01,6.5862,-0.2185612757020988
2014년,2월,2014-02-01,8.6616,0.1972134682368551
2014년,3월,2014-03-01,6.9603,0.0274263783305039
2014년,4월,2014-04-01,6.0301,0.0822146446518305
2014년,5월,2014-05-01,5.6187,0.0995283849631123
2014년,6월,2014-06-01,5.065,-0.0735829385619958
2014년,7월,2014-07-01,5.645,0.0597157821622331
2014년,8월,2014-08-01,8.7457,0.3423326631160499
2014년,9월,2014-09-01,6.8983,0.1938079745258203
2014년,10월,2014-10-01,6.9608,0.2292152292152292
2014년,11월,2014-11-01,7.8129,0.2177023425445363
2014년,12월,2014-12-01,8.3123,0.2620782848987277
2015년,1월,2015-01-01,11.645,0.7680908566396405
2015년,2월,2015-02-01,14.5563,0.6805555555555556
2015년,3월,2015-03-01,9.0804,0.304598939700875
2015년,4월,2015-04-01,8.5297,0.4145204888807814
2015년,5월,2015-05-01,8.1557,0.4515279335077509
2015년,6월,2015-06-01,7.2927,0.4398223099703851
2015년,7월,2015-07-01,7.3108,0.2950930026572187
2015년,8월,2015-08-01,10.4146,0.1908252055295745
2015년,9월,2015-09-01,8.0199,0.1625907832364495
2015년,10월,2015-10-01,8.6775,0.246623951269969
2015년,11월,2015-11-01,10.0782,0.2899435548899896
2015년,12월,2015-12-01,11.4741,0.3803760691986575
2016년,1월,2016-01-01,14.933,0.2823529411764707
2016년,2월,2016-02-01,14.2234,-0.0228698226884579
2016년,3월,2016-03-01,11.6593,0.2840073124531959
2016년,4월,2016-04-01,11.1154,0.3031407904146688
2016년,5월,2016-05-01,11.1952,0.3726841350221317
2016년,6월,2016-06-01,10.9806,0.5056974783002179
2016년,7월,2016-07-01,11.696,0.599824916561799
2016년,8월,2016-08-01,14.7028,0.4117488909799704
2016년,9월,2016-09-01,12.8911,0.6073891195650818
2016년,10월,2016-10-01,12.3052,0.4180581964851628
2016년,11월,2016-11-01,13.2698,0.3166835347581909
2016년,12월,2016-12-01,15.4165,0.3435912184833669
2017년,1월,2017-01-01,17.1932,0.1513560570548449
2017년,2월,2017-02-01,19.2572,0.3539097543484679
2017년,3월,2017-03-01,16.296,0.3976825366874512
2017년,4월,2017-04-01,17.4373,0.5687514619356928
2017년,5월,2017-05-01,18.7359,0.6735654566242675
2017년,6월,2017-06-01,17.7061,0.6124892993096915
2017년,7월,2017-07-01,19.3569,0.6550017099863201
2017년,8월,2017-08-01,24.0985,0.6390415431074352
2017년,9월,2017-09-01,21.3538,0.6564761734840316
2017년,10월,2017-10-01,21.9733,0.7856922276761045
2017년,11월,2017-11-01,22.4056,0.6884655382899516
2017년,12월,2017-12-01,25.7107,0.6677391106930886
2018년,1월,2018-01-01,31.6314,0.8397622315799269
2018년,2월,2018-02-01,30.3391,0.57546787694992
2018년,3월,2018-03-01,27.2757,0.6737665684830634
2018년,4월,2018-04-01,28.1385,0.6136959276952281
2018년,5월,2018-05-01,26.7909,0.4299233023233471
2018년,6월,2018-06-01,27.1848,0.535335279931775
2018년,7월,2018-07-01,25.2396,0.3039071338902406
2018년,8월,2018-08-01,32.0714,0.3308463182355747
2018년,9월,2018-09-01,22.7249,0.0642087122666692
2018년,10월,2018-10-01,30.3417,0.3808440243386291
2018년,11월,2018-11-01,29.3481,0.3098555718213303
2018년,12월,2018-12-01,32.4545,0.2622954645342212
2019년,1월,2019-01-01,38.8977,0.2297179385041445
2019년,2월,2019-02-01,38.3205,0.263073064131764
2019년,3월,2019-03-01,33.5612,0.2304432150228959
2019년,4월,2019-04-01,33.8085,0.2015032784263553
2019년,5월,2019-05-01,31.8326,0.1881870336569506
2019년,6월,2019-06-01,31.4397,0.1565176127836143
2019년,7월,2019-07-01,32.1493,0.2737642434903882
2019년,8월,2019-08-01,40.1038,0.2504536752371271
2019년,9월,2019-09-01,33.956,0.4942199965676417
2019년,10월,2019-10-01,36.1113,0.1901541442964633
2019년,11월,2019-11-01,36.426,0.2411706379629346
2019년,12월,2019-12-01,42.4736,0.3087121970759063
2020년,1월,2020-01-01,46.8423,0.2042434385580638
2020년,2월,2020-02-01,32.1967,-0.159804804217064
2020년,3월,2020-03-01,2.8699,-0.9144875630192008
2020년,4월,2020-04-01,2.0952,-0.993417547175502
2020년,5월,2020-05-01,0.0,0.0
2020년,6월,2020-06-01,0.0,0.0
2020년,7월,2020-07-01,0.0,0.0
2020년,8월,2020-08-01,0.0,0.0
2020년,9월,2020-09-01,0.0,0.0
2020년,10월,2020-10-01,0.0,0.0
2020년,11월,2020-11-01,0.0,0.0
2020년,12월,2020-12-01,0.0,0.0
2021년,1월,2021-01-01,3.25,-0.961311412181072
2021년,2월,2021-02-01,0.0,0.0
2021년,3월,2021-03-01,0.0,0.0
2021년,4월,2021-04-01,0.0,0.0
2021년,5월,2021-05-01,0.0,0.0
2021년,6월,2021-06-01,0.0,0.0
2021년,7월,2021-07-01,0.0,0.0
2021년,8월,2021-08-01,0.0,0.0
2021년,9월,2021-09-01,0.0,0.0
